"energy","loudness","acousticness","instrumentalness","tempo","duration_ms","track_age","track_popularity"
0.835,-3.425,0.0139,0,123.024,251293,5,75
0.731,-4.581,0.0376,3.15e-05,138.032,195307,5,81
0.744,-4.249,0.0149,0.00666,126.018,208863,7,70
0.887,-1.993,0.037,0,130.018,193160,5,65
0.769,-4.342,0.0183,0,170.036,191100,6,75
0.764,-5.511,0.111,0,92.044,166213,5,69
0.862,-4.757,0.0923,0,119.991,229773,6,85
0.828,-5.559,0.0343,0,139.927,228682,6,72
0.787,-3.114,0.114,0,96.929,195856,6,72
0.855,-3.211,0.00481,0,126.035,222732,6,75
0.842,-4.332,0.0157,0,169.917,238726,7,65
0.672,-5.277,0.465,0,127.986,193734,6,63
0.853,-2.687,0.0688,0,125.034,213264,7,2
0.979,-3.104,0.00911,0,126.063,207617,6,71
0.785,-4.34,0.0667,0,127.016,216640,5,48
0.543,-6.7,0.0233,0,99.026,210641,7,68
0.96,-1.807,0.0426,0,109.863,237077,7,65
0.833,-3.314,0.315,0,97.898,196018,6,70
0.842,-5.558,0.0677,0.000123,102.987,163509,6,66
0.775,-4.035,0.022,0,129.819,223123,7,71
0.906,-1.466,0.321,0,129.999,212136,7,2
0.913,-2.977,0.0514,3.71e-06,137.982,237685,6,7
0.91,-2.898,0.029,0,132.04,211320,5,69
0.718,-3.315,0.059,0,104.971,205820,6,66
0.873,-2.901,0.0148,0,99.972,193579,8,1
0.804,-3.512,0.022,1.76e-05,146.943,193253,6,64
0.94,-2.32,0.115,0.00431,127.051,208475,6,66
0.794,-2.877,0.0806,0,114.285,205821,7,60
0.773,-3.302,0.656,0,124.148,211237,7,67
0.894,-3.885,0.0119,0,122.051,197252,6,0
0.904,-3.955,0.0881,0,130.047,203493,5,66
0.782,-3.911,0.0582,1.4e-06,121.991,195000,7,62
0.739,-4.591,0.405,0.000183,99.913,214137,6,66
0.883,-1.712,0.226,9.84e-05,127.069,200243,6,61
0.911,-2.611,0.0572,4.73e-06,106.972,203507,6,61
0.722,-4.429,0.00785,0.000326,120.055,181976,6,61
0.862,-3.903,0.0218,0,128.051,279423,7,58
0.757,-5.532,0.0261,0,104.943,208968,6,63
0.836,-2.868,0.208,0,111.934,214293,5,67
0.897,-3.628,0.0323,0,140.03,195027,5,57
0.934,-4.618,0.0774,0.00745,159.998,202040,6,65
